Key,English,Espanol,Catala
,,,
Controls.Forward,Makes the vehicle go forward.,Hace que el vehículo avance.,Fa que el vehicle avanci.
Controls.Backward,Makes the vehicle go backward.,Hace que el vehículo retroceda.,Fa que el vehicle retrocedeixi.
Controls.Right,Makes the vehicle go right.,Hace que el vehículo gire a la derecha.,Fa que el vehicle giri a la dreta.
Controls.Left,Makes the vehicle go left.,Hace que el vehículo gire a la izquierda.,Fa que el vehicle giri a l'esquerra.
Controls.Shoot,Shoots a bullet that damages other vehicles.,Dispara una bala que daña a otros vehículos.,Dispara una bala que danya altres vehicles.
Controls.Mode,"Toggle mode to shoot a bullet that pushes vehicles. 
The more damage the impacted vehicle, the further they'll be pushed.","Alterna el modo para disparar una bala que empuja vehículos. 
Cuanto más dañado esté el vehículo impactado, más lejos será empujado.","Alterna el mode per disparar una bala que empeny vehicles. 
Com més dany tingui el vehicle impactat, més lluny serà empès."
Controls.Brake,Stops the vehicle.,Detiene el vehículo.,Atura el vehicle.
Controls.Dash,Makes the vehicle go forward at increased speed. Can be cancelled with brake.,Hace que el vehículo avance a velocidad aumentada. Se puede cancelar con el freno.,Fa que el vehicle avanci a velocitat augmentada. Es pot cancel·lar amb el fre.
Controls.Ultimate,Uses the ultimate of that character. Read the characters description to know what the ultimate does.,Usa la habilidad definitiva de ese personaje. Lee la descripción del personaje para saber qué hace la habilidad definitiva.,Utilitza l'habilitat definitiva d'aquell personatge. Llegeix la descripció del personatge per saber què fa l'habilitat definitiva.
Controls.Mine,"Throw the pushing bullet backward and plant it on the ground. After a certain time or if someone goes nearby, it explodes.","Lanza la bala de empuje hacia atrás y la planta en el suelo. Después de un cierto tiempo o si alguien se acerca, explota.","Llença la bala d'empenta cap enrere i la planta a terra. Després d'un cert temps o si algú s'hi acosta, explota."
Controls.Reset,Makes the camera go where the vehicle is facing.,Orienta la cámara hacia donde mira el vehículo.,Orienta la càmera cap on mira el vehicle.
Controls.Drift,"Makes the vehicle drift. Drifting does not loose speed. To drift, brake and go left or right.","Hace que el vehículo derrape. Derrapar no pierde velocidad. Para derrapar, frena y gira a la izquierda o derecha.","Fa que el vehicle derrapi. Derrapar no fa perdre velocitat. Per derrapar, frena i gira a l'esquerra o a la dreta."
Controls.AirRotation,"While in the air, brake to toggle rotation in the air.","Mientras estás en el aire, frena para alternar la rotación en el aire.","Mentre ets a l'aire, frena per alternar la rotació a l'aire."
Controls.HowToPlay,How To Play,Cómo Jugar,Com Jugar
Controls.Movement,Movement,Movimiento,Moviment
