Key,English,Espanol,Catala
,,,
Credits.ProjectLead,Project lead,Lider de proyecto,Cap del projecte
Credits.LeadProgrammer,Lead Programmer,Programador líder,Programador Principal
Credits.LeadArtist,Lead Artist,Artista líder,Artista Principal
Credit.Programmers,Programmers,Programadores,Programadors
Credit.Player,Player,Jugador,Jugador
Credit.AI,Artificial Intelligence,Inteligencia Artificial,Intel·ligencia Artificial
Credit.Physics,Physics,Físicas,Físiques
Credit.Systems,Systems,Sistemas,Sistemes
Credit.UI,User Interface,Interfaz de usuario,Interfaç d'usuari
Credit.Tools,Tools,Herramientas,Eines
Credit.Artists,Artists,Artistas,Artistes
Credit.Characters,Characters,Personajes,Personatges
Credit.Vehicles,Vehicles,Vehiculos,Vehicles
Credit.Animations,Animations,Animaciones,Animacions
Credit.Map,Map,Mapa,Mapa
Credit.Props,Props,Props,Props
Credit.Rigging,Rigging,Rigging,Rigging
Credit.Concept,Concept Art,Concept Art,Concept Art
Credit.Credit,Credits,Créditos,Crèdits
Credit.Sounds,Music and sounds,Música y sonidos,"
Música i sons"
