Key,English,Espanol,Catala
,,,
Events.Start,Push everyone outside the map before the sandstorm arrives!!!!,¡¡¡¡Empuja a todos fuera del mapa antes de que llegue la tormenta!!!!,Empeny a tots fora del mapa abans que arribi la tempesta!!!!
Events.Sandstorm,The sandstorm approaches!!,¡¡La tormenta se acerca!!,La tempesta s'apropa!!
Events.OutsideMap,Go back to the battle zone!!!!,¡¡¡¡Vuelve a la zona de batalla!!!!!,Torna a la zona de batalla!!!!
Events.DamageBoost,Temporal Damage boost!,¡Daño mejorado temporalmente!,Dany millorat temporalment!
Events.SpeedBoost,Temporal Speed boost!,¡Velocidad mejorada temporalmente!,Velocitat millorada temporalment!
Events.PushBoost,Temporal Push boost!,¡Empuje mejorado temporalmente!,Empeny millorat temporalment!
Events.CooldownsBoost,Temporal Cooldown boost!,¡Enfriamientos mejorados temporalmente!,Temps de refresc millorats temporalment!
Events.HealthBoost,Health recovered!,¡Vida recuperada!,Vida recuperada!
Events.SkinUnlock,Skin part unlocked!,¡Parte de aspecto desbloqueado!,Part d'aspecte desbloquejat!
