Key,English,Espanol,Catala
,,,
Graphics.Brightness,Brightness,Brillo,Il·luminació
Graphics.Resolution,Resolution,Resolución,Resolució
Graphics.FPS,FPS Cap,Máximos FPS,Màxims FPS
Graphics.Anti-Aliasing,Anti-Aliasing,Anti-Aliasing,Anti-Aliasing
Graphics.VSync,VSync,Sincronización Vertical,Sincronització Vertical
Graphics.ScreenMode,Screen Mode,Tipo de Pantalla,Tipus de Pantalla
Graphics.Windowed,Window,Ventana,Finestra
Graphics.FullscreenWindow,Fullscreen Window,Ventana en Pantalla Completa,Finestra en Pantalla Completa
Graphics.Fullscreen,Full Screen,Pantalla Completa,Pantalla Completa
Graphics.UpscalingMode,Upscaling,Reescalado,Reescalat
Graphics.UpscalingResolutionMode,Upscaling Resolution,Resolución de Reescalado,Resolució de Reescalat
