Key,English,Espanol,Catala
,,,
Remap.Forward,Accelerate,Acelerar,Accelerar
Remap.Backward,Reverse,Marcha Atrás,Marxa Enrere
Remap.Right,Turn Right,Girar hacia la derecha,Girar cap a la dreta
Remap.Left,Turn Left,Girar hacia la izquierda,Girar cap a l'esquerra
Remap.Shoot,Shoot,Disparar,Disparar
Remap.Mode,Change Weapon,Cambiar Arma,Canviar Arma
Remap.Brake,Handbrake,Freno de mano,Fre de mà
Remap.Dash,Dash,Turbo,Turbo
Remap.Ultimate,Ultimate,Definitiva,Definitiva
Remap.Mine,Throw Mine,Dejar Mina,Deixar Mina
Remap.Reset,Reset Bindings,Reiniciar controles,Reiniciar controls
Remap.Drift,Drift,Derrapar,Derrapar
Remap.CameraReset,Center Camera,Centrar Cámara,Centrar Càmara
Remap.AirRotation,Air Rotation,Rotación Aérea,Rotació Aeria
