Key,English,Espanol,Catala
,,,
Tips.Tip1,Press Ctrl in the air to rotate and fall correctly,Presiona Ctrl en el aire para poder rotar y caer correctamente,Prem Ctrl a l'aire per poder rotar i caure correctament
Tips.Tip2,"Be careful around certain buildings, old people are drawn to them...","Ten cuidado con ciertos edificios, los ancianos se sienten atraidos por ellos...","Aneu amb compte amb certs edificis, els avis se senten atrets per ells..."
Tips.Tip3,Hold Ctrl to brake hard,Manten pulsado Ctrl para frenar en seco,Mantingueu premut Ctrl per frenar en sec
Tips.Tip4,Press E to drop a mine instead of the push shot,Presiona E en para soltar una mina en lugar del disparo de empuje,Prem E en per deixar anar una mina en lloc del tret d'empenta
Tips.Tip5,Holding Ctrl while turning will allow you to drift and better control the vehicle.,Presionar Ctrl mientras giras te permitirá derrapar y controlar mejor el vehículo,Pressionar Ctrl mentre gires et permetrà derrapar i controlar millor el vehicle
Tips.Tip6,"Pepe's ability throws a tomato into the sky that explodes and splits into other tomatoes, those hit by one have their visibility and speed affected","La habilidad de Pepe lanza un tomate al cielo que explota y se divide en otros tomates, aquellos que son golpeados por uno ven su visibilidad y velocidad afectadas","L'habilitat de Pepe llança un tomàquet al cel que explota i es divideix en altres tomàquets, aquells que són copejats per un veuen la seva visibilitat i velocitat afectades"
Tips.Tip7,Josefino's ability heals him a large amount of endurance and grants him a shield that protects him from the next push or explosion.,La habilidad de Josefino le cura una gran cantidad de resistencia y le otorga un escudo que le protege del próximo empuje o explosión,L'habilitat de Josefino li cura una gran quantitat de resistència i li atorga un escut que el protegeix de la propera empenta o explosió
Tips.Tip8,"Carme's ability launches a giant chicken that moves in a straight line, pushing anyone who dares to get in its way.","La habilidad de Carme lanza una gallina gigante que se mueve en línea recta, empujando a todo aquel que se ose ponerse en su camino","L'habilitat de la Carme llança una gallina gegant que es mou en línia recta, empenyent tot aquell que s'hi gosi posar-se al seu camí"
Tips.Tip9,"Maria Antonia's ability grants her the power of croquettes, receiving a temporary boost to her stats.","La habilidad de Maria Antonia le otorga el poder de las croquetas, recibiendo una mejora temporal de las estadísticas","L'habilitat de Maria Antonia li atorga el poder de les croquetes, rebent una millora temporal de les estadístiques"
Tips.Tip10,"Don't lose hope if you fall into a hole, using a mine or a push shot on yourself can help you get a better angle to get out with the Dash.","No pierdas la esperanza si caes en un agujero, utilizar una mina o un disparo de empuje sobre ti mismo puede ayudarte a tener un ángulo mejor para salir con el Dash","No perdis l'esperança si caus en un forat, fer servir una mina o un tret d'empenta sobre tu mateix pot ajudar-te a tenir un angle millor per sortir amb el Dash"
Tips.Tip11,The minimap indicates the direction in which the storm is moving.,El minimapa indica en que dirección se mueve la tormenta,El minimapa indica en quina direcció es mou la tempesta
Tips.Tip12,"The more damage you take, the further you will be pushed back.","Cuanto más daño recibas, más serás empujado.",Mentre més dany rebis més t'empenyessin
Tips.Tip13,"Don't let your gun overheat, otherwise you won't be able to shoot for a while.","No dejes que tu arma se sobrecaliente, sino estarás un rato sin poder disparar","No deixis que la teva arma se sobreescalfi, sinó estaràs una estona sense poder disparar"
Tips.Tip14,Carme has a herbalist's shop in the village,Carmen tiene una herboristería en el pueblo,Carme té una herboristeria al poble
Tips.Tip15,Josefino founded the town's first golf club,Josefino fundó el primer club de golf del pueblo,Josefino va fundar el primer club de golf del poble
Tips.Tip16,The tomatoes from Pepe's garden are the most delicious in the whole town.,Los tomates del huerto de Pepe son los más deliciosos de todo el pueblo,Els tomàquets de l'hort de Pepe són els més deliciosos de tot el poble
Tips.Tip17,Maria Antonia has always been very popular,Maria Antonia siempre ha sido muy popular,Maria Antònia sempre ha estat molt popular
Tips.Tip18,The villagers claim to have seen something supernatural in the forest.,Los habitantes del pueblo dicen haber visto algo sobrenatural en el bosque,Els habitants del poble diuen haver vist alguna cosa sobrenatural al bosc
Tips.Tip19,The town drunks tend to mistake windmills for giants.,Los borrachos del pueblo tienden a confundir los molinos con gigantes,Els borratxos del poble tendeixen a confondre els molins amb gegants
Tips.Tip20,"Due to complaints from neighbors, the noise from the construction work had to be reduced.",Por quejas de los vecinos se tuvo que reducir el ruido de las obras,Per queixes dels veïns es va haver de reduir el soroll de les obres
Tips.Tip21,Maria Antonia's fryer has caused many headaches,La freidora de Maria Antonia ha causado muchos dolores de cabeza,La fregidora de Maria Antònia ha causat molts mals de cap
