Key,English,Espanol,Catala,
,,,,
Training.Forward,Accelerate,Acelerar,Accelerar,W
Training.Backward,Go Backwards,Marcha Etrás,Marxa Enrere,S
Training.Direction,Direction,Dirección,Direcció,A/D
Training.MoveCamera,Move Camera,Mover Cámara,Moure Càmara,Mouse
Training.Shoot,Shoot,Disparo,Dispar,
Training.ToggleShoot,Toggle between shooting and pushing grenade,Cambio entre disparo y granada de empuje,Canvi entre dispar i granada d'empenyament,
Training.Mine,Deploy Mine,Poner Mina,Posar Mina,
Training.HandBrake,Hand Brake,Freno de Mano,Fre de mà,
Training.Drift,Drift,Derrapar,Derrapar,
Training.Dash,Dash,Turbo,Turbo,
Training.UniqueAbility,Ultimate Ability,Habilidad definitiva,Habilitat definitiva,
Training.CameraReset,Camera looks Forward,Cámara Mira Hacia Delante,Càmara mira cap endevant,
Training.Pause,Pause,Pausa,Pausa,
Traning.ChangeScreen,Change Screen,Cambiar Página,Canviar Pàgina,
